	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.643414	CountSuits	2.300648	5	1	3.643414	0	0	5	0	0	5	0	0	1	1	1	38	0.5520903	0	1.2982	189.0761	162	177.7374	175.1525
1	9.401172	CountSuits	2.6009	5	1	5.757758	38	0	2	1	1	2	1	1	1	1	1	37	0.497	0	1.557234	189.0761	-36	139.4279	-27.02026
2	17.52519	CountSuits	2.536141	5	1	8.124021	37	0	7	0	0	7	0	0	1	1	1	33	0.4946145	0	3.813068	189.0761	89.99999	172.2758	97.46308
3	25.89462	CountSuits	2.138583	5	1	8.369432	36	0.212576	7	0	0	7	0	0	1	1	1	35	1.166931	0	2.709909	189.0761	1.001791E-05	189.6742	9.021532
4	33.48628	CountSuits	2.077699	5	1	7.591658	35	0	3	1	1	3	1	1	1	1	1	36	0.6161387	0	2.245881	189.0761	-108	148.8056	-109.6838
5	42.63699	CountSuits	2.087571	5	1	9.150707	35	0	7	3	1	7	3	1	1	1	1	37	2.622535	0	1.698615	189.0761	-90	148.7892	-98.92284
6	49.59162	CountSuits	2.139758	5	1	6.954632	36	0	5	1	1	5	1	1	1	1	1	37	0.5963996	0	1.872393	189.0761	-54.00001	190.3005	-61.60128
7	55.51705	CountSuits	2.164621	5	1	5.92543	36	0	5	2	0	5	2	0	1	1	1	38	0.5806245	0	1.14585	189.0761	1.001791E-05	192.6309	-4.301102
8	62.48989	CountSuits	2.228678	5	1	6.972843	36	0	7	2	0	7	2	0	1	1	1	37	0.5632674	0	1.880784	189.0761	36	166.7375	18.98399
