	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.415501	Memory	2.474762	4	1	4.415501	0	0	9	0	0	9	0	0	1	1	1	39	0.5177583	0.5135233	0.9866377	189.0761	-108	153.9644	-96.64578
1	10.17056	Memory	2.756681	4	1	5.755056	39	0	7	0	0	7	0	0	1	1	1	38	0.4638661	0.4634687	1.010331	189.0761	-108	163.8206	-97.38146
2	17.08764	Memory	2.750758	4	1	6.91708	38	0	0	3	1	0	3	1	1	1	1	37	0.5204059	0.4638674	1.916505	189.0761	108	201.3828	109.9865
3	25.72846	Memory	2.597754	4	1	8.640825	38	0	5	0	0	5	0	0	1	1	1	36	1.74008	0.5004692	2.07754	189.0761	18	193.1526	6.582148
4	32.05621	Memory	2.501123	4	1	6.327751	37	0	7	3	1	7	3	1	1	1	1	39	0.5135688	0.515475	0.8873702	189.0761	90	157.3433	84.8587
5	38.44459	Memory	2.562161	4	1	6.388374	37	0	3	1	1	3	1	1	1	1	1	39	0.497002	0.5010854	0.9982533	189.0761	72	182.9452	71.46747
6	45.99023	Memory	2.593614	4	1	7.545647	38	0.6445166	7	2	0	7	2	0	1	1	1	36	0.4990887	0.4969997	2.205258	189.0761	144	161.6102	146.2805
7	53.4495	Memory	2.529865	4	1	7.459267	37	0	9	3	1	9	3	1	1	1	1	36	0.4973624	0.5053886	2.110584	189.0761	-108	154.848	-107.2987
8	59.87354	Memory	2.48797	4	1	6.424042	37	0	6	3	1	6	3	1	1	1	1	38	0.5135676	0.5171409	1.078522	189.0761	-162	181.7549	-179.1869
