	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.703408	MultiSuits	2.31472	4	1	3.703408	0	0	4	0	0	4	0	0	1	1	1	38	0.5466995	0	1.481666	189.0761	-108	149.3949	-111.3314
1	9.120884	MultiSuits	2.509167	4	1	5.417476	38	0	2	2	0	2	2	0	1	1	1	38	0.5135672	0	1.163881	189.0761	-71.99999	172.8791	-74.50859
2	14.82694	MultiSuits	2.588613	4	1	5.70606	38	0	6	3	1	6	3	1	1	1	1	38	0.499187	0	1.47965	189.0761	18	166.3453	4.012283
3	19.82315	MultiSuits	2.562467	4	1	4.996202	38	0	0	0	0	0	0	0	1	1	1	39	0.499198	0	0.9223226	189.0761	-36	180.8186	-36.02634
4	25.68388	MultiSuits	2.61906	4	1	5.860731	38	0	8	2	0	8	2	0	1	1	1	37	0.4804329	0	1.872743	189.0761	162	205.5046	169.0505
5	31.04083	MultiSuits	2.557974	4	1	5.356951	38	0	0	2	0	0	2	0	1	1	1	38	0.4968382	0	1.085166	189.0761	-18	180.2922	-17.17134
6	38.13675	MultiSuits	2.582881	4	1	7.095924	38	0	0	0	0	0	0	0	1	1	1	34	0.4990302	0	3.053847	189.0761	108	164.9846	110.2717
7	43.75841	MultiSuits	2.460052	4	1	5.621655	37	0	6	3	1	6	3	1	1	1	1	38	0.5131006	0	1.380524	189.0761	162	200.2209	165.0924
8	48.90726	MultiSuits	2.472512	4	1	5.148853	37	0	1	0	0	1	0	0	1	1	1	38	0.5148363	0	1.051902	189.0761	89.99999	161.189	100.8449
9	55.34504	MultiSuits	2.500461	4	1	6.437778	37	0	8	3	1	8	3	1	1	1	1	36	0.5152496	0	2.256072	189.0761	54	167.2064	56.297
10	61.62971	MultiSuits	2.462611	4	1	6.284676	37	0	4	1	1	4	1	1	1	1	1	37	0.5136706	0	1.941441	189.0761	-162	197.5462	-161.5036
