Choice	Time	Game Mode	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0.5971819	Basic	3	49	49	1	True	True	True	38	0	0	0	1.027131	1	171.8873	-180	144.9035	174.9089
1	7.601369	Basic	3	7	7	1	True	True	True	37	38	0.1161407	0	1.899449	1.5	171.8873	-120	143.8955	-116.4249
2	12.69609	Basic	3	1	1	1	True	True	True	38	37	0.09940424	0	1.102343	2	171.8874	54	159.5018	59.34333
3	16.91039	Basic	3	19	19	1	True	True	True	39	37	0.1325365	0	0.9106782	2.5	171.8873	0	164.6554	4.111637
4	21.38173	Basic	3	15	15	1	True	True	True	38	38	0.1656679	0	1.392309	2.63255	171.8873	168	177.8531	175.6856
5	25.16213	Basic	3	31	31	1	True	True	True	39	38	0	0	0.9608966	2.616809	171.8874	6.000003	153.1439	4.421292
6	28.95857	Basic	3	42	42	1	True	True	True	39	38	0.01701239	0	0.9715901	2.642266	171.8873	-6.000011	170.6348	2.026543
7	34.1848	Basic	3	35	35	1	True	True	True	36	38	0	0	2.228416	2.659686	171.8873	-71.99999	176.642	-69.65321
8	38.36469	Basic	3	55	55	1	True	True	True	38	38	0.09940345	0	1.201654	2.594199	171.8873	-150	160.4311	-147.8953
9	44.6874	Basic	4	43	43	1	True	True	True	35	38	0.5865868	0	2.568213	2.600307	171.8874	-53.99998	208.42	-51.70089
10	48.90658	Basic	4	12	12	1	True	True	True	39	37	0	0	0.9833919	2.536866	171.8874	-162	150.2702	-160.5211
11	53.18766	Basic	4	19	19	1	True	True	True	38	37	0.2016033	0	1.068195	2.556997	171.8873	-18	153.7396	-17.78564
12	57.90087	Basic	4	25	25	1	True	True	True	38	37	0.4747617	0	1.012758	2.570239	171.8873	36	151.1862	29.41191
13	63.22345	Basic	4	12	12	1	True	True	True	37	37	0.07479398	0	1.956223	2.583576	171.8874	72	198.2186	85.29304
14	68.49347	Basic	4	31	31	1	True	True	True	36	37	0.1775525	0	2.043984	2.561313	171.8873	36	155.5289	28.29421
15	73.19379	Basic	4	55	55	1	True	True	True	37	37	0.06371753	0	1.56671	2.539092	171.8873	-71.99999	213.4217	-66.36658
16	78.25328	Basic	4	7	7	1	True	True	True	37	37	0	0	1.761313	2.534564	171.8874	-162	159.638	-174.8141
17	83.29405	Basic	5	23	23	1	True	True	True	38	37	0.1909264	0	1.468127	2.524845	171.8873	-108	154.8939	-108.7725
18	88.12725	Basic	5	28	28	1	True	True	True	38	37	0	0	1.416407	2.52435	171.8873	144	231.0714	139.1939
19	94.03364	Basic	5	42	42	1	True	True	True	38	37	1.372188	0	1.212726	2.525269	171.8874	72	227.6144	78.83257
20	99.03322	Basic	5	32	32	1	True	True	True	39	37	0.575883	0	0.9430761	2.531187	171.8873	126	195.5042	126.7623
21	104.542	Basic	5	7	7	1	True	True	True	37	37	0.2113558	0	1.881851	2.542962	171.8873	108	195.8057	114.3994
22	109.4248	Basic	5	27	27	1	True	True	True	38	37	0.1900335	0	1.258278	2.532331	171.8873	-90	152.4484	-90.98606
23	113.6526	Basic	5	0	0	1	True	True	True	39	37	0	0	0.9717372	2.53618	171.8873	-180	149.4419	176.273
24	118.0221	Basic	5	22	22	1	True	True	True	39	37	0	0	0.9273401	2.545678	171.8873	108	131.3812	102.4543
25	122.7479	Basic	6	19	19	1	True	True	True	38	37	0	0	1.115966	2.555304	171.8873	150	142.0812	147.7479
26	127.4882	Basic	6	7	7	1	True	True	True	39	37	0.338383	0	0.981827	2.560562	171.8874	138	168.937	138.4625
27	133.1596	Basic	6	63	63	1	True	True	True	37	37	0.7974142	0	1.501262	2.567915	171.8873	144	132.1795	140.0778
28	139.4091	Basic	6	55	55	1	True	True	True	36	37	0.1338257	0	2.440718	2.565467	171.8874	78	180.2278	83.98226
29	143.9069	Basic	6	42	42	1	True	True	True	39	37	0	0	0.9695786	2.54699	171.8873	114	136.5699	104.7043
30	148.9472	Basic	6	7	7	1	True	True	True	38	37	0.06813918	0	1.197349	2.554264	171.8873	144	173.7303	138.2443
31	154.3112	Basic	6	19	19	1	True	True	True	37	37	0	0	1.705767	2.557395	171.8873	114	225.5138	111.9995
32	158.8759	Basic	6	3	3	1	True	True	True	39	37	0.03713586	0	0.9650333	2.552387	171.8873	174	199.9445	171.6254
