	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.321955	MultiSuits	2.37116	5	1	3.321955	0	1	2	0	1	2	0	1	1	1	38	0.3987708	0	1.15524	171.8873	108	159.754	97.93047
1	8.262259	MultiSuits	2.67238	5	1	4.940304	38	6	3	1	6	3	1	1	1	1	39	1.11956	0	0.8946744	171.8873	-18	143.4501	-22.71666
2	12.39947	MultiSuits	2.737521	5	1	4.137209	38	8	1	1	8	1	1	1	1	1	39	0.1325381	0	0.8892063	171.8874	72.00002	144.3647	82.06133
3	17.40707	MultiSuits	2.760147	5	1	5.007607	38	7	0	0	7	0	0	1	1	1	38	0.3465664	0	1.401096	171.8873	-36	148.7575	-32.54094
4	21.70604	MultiSuits	2.707473	5	1	4.298964	38	6	3	1	6	3	1	1	1	1	38	0.1493704	0	1.178094	171.8874	72.00002	152.9046	74.27068
5	26.37635	MultiSuits	2.698169	5	1	4.670311	38	0	3	1	0	3	1	1	1	1	39	0.957486	0	0.7498658	171.8873	89.99999	188.9962	82.9835
6	30.76872	MultiSuits	2.727652	5	1	4.392376	38	3	0	0	3	0	0	1	1	1	38	0	0	1.431435	171.8873	-126	145.4811	-126.2705
7	34.62265	MultiSuits	2.700028	5	1	3.853926	38	4	0	0	4	0	0	1	1	1	39	0	0	0.7734939	171.8873	90.00002	133.1608	87.28979
8	39.05181	MultiSuits	2.720431	5	1	4.429161	38	8	0	0	8	0	0	1	1	1	38	0	0	1.104661	171.8873	-108	169.0201	-101.6413
9	43.64806	MultiSuits	2.717902	5	1	4.596249	38	4	3	1	4	3	1	1	1	1	37	0	0	1.588479	171.8873	-180	178.3594	172.4778
