	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	16.2886	Basic	2	3	1	16.2886	0	0	8	2	0	8	2	0	1	1	1	37	2.906373	0	1.531671	189.0761	-156	168.2174	-153.3234
1	21.77839	Basic	2.484164	3	1	5.489784	37	0	3	0	0	3	0	0	1	1	1	38	0.5169636	0	1.288525	189.0761	18	166.39	23.24002
2	27.09745	Basic	2.544951	3	1	5.319057	37	0	8	2	0	8	2	0	1	1	1	38	0.4970064	0	1.203358	189.0761	-168	185.6402	-160.1926
3	32.78921	Basic	2.579408	3	1	5.691765	37	0	8	3	1	8	3	1	1	1	1	37	0.4969992	0	1.736619	189.0761	150	179.7017	161.5422
4	39.50901	Basic	2.529978	3	1	6.719795	37	0.1257414	5	0	0	5	0	0	1	1	1	35	0.4970004	0	2.60848	189.0761	-132	140.6008	-133.2014
5	45.10749	Basic	2.413135	3	1	5.59848	37	0	3	0	0	3	0	0	1	1	1	38	0.5208595	0	1.400694	189.0761	-29.99998	201.8243	-26.44335
6	51.21417	Basic	2.435888	3	1	6.106686	37	0	3	3	1	3	3	1	1	1	1	37	0.5545077	0	1.902765	189.0761	54	142.4142	49.74502
7	57.63259	Basic	2.416278	3	1	6.418415	37	0	4	2	0	4	2	0	1	1	1	36	0.5302559	0	2.05293	189.0761	-71.99999	153.8755	-64.01082
8	63.41492	Basic	2.392185	3	1	5.782333	37	0	8	1	1	8	1	1	1	1	1	37	0.5261875	0	1.554906	189.0761	-65.99999	130.9465	-67.89326
