Time	Message
0.01656516	Jogo executando - Esperando jogador ler
0.0352762	Jogo executando - Esperando jogador iniciar
2.114987	Jogo executando - Esperando jogador escolher
5.096974	Jogo executando - Escolha certa
6.396632	Jogo executando - Turno terminando
8.17258	Jogo executando - Novo turno
8.189146	Jogo executando - Esperando jogador ler
8.208907	Jogo executando - Esperando jogador iniciar
10.61076	Jogo executando - Esperando jogador escolher
12.53877	Jogo executando - Escolha certa
13.68873	Jogo executando - Turno terminando
15.25484	Jogo executando - Novo turno
15.27176	Jogo executando - Esperando jogador ler
15.29561	Jogo executando - Esperando jogador iniciar
16.85864	Jogo executando - Esperando jogador escolher
18.91628	Jogo executando - Escolha certa
20.02815	Jogo executando - Turno terminando
21.54337	Jogo executando - Novo turno
21.55997	Jogo executando - Esperando jogador ler
21.58167	Jogo executando - Esperando jogador iniciar
23.11715	Jogo executando - Esperando jogador escolher
24.81443	Jogo executando - Escolha certa
25.89361	Jogo executando - Turno terminando
27.37284	Jogo executando - Novo turno
27.3893	Jogo executando - Esperando jogador ler
27.40586	Jogo executando - Esperando jogador iniciar
29.40589	Jogo executando - Esperando jogador escolher
32.50808	Jogo executando - Escolha certa
33.62812	Jogo executando - Turno terminando
35.16977	Jogo executando - Novo turno
35.18634	Jogo executando - Esperando jogador ler
35.20508	Jogo executando - Esperando jogador iniciar
37.18174	Jogo executando - Esperando jogador escolher
39.34187	Jogo executando - Escolha certa
40.46946	Jogo executando - Turno terminando
42.00093	Jogo executando - Novo turno
42.01717	Jogo executando - Esperando jogador ler
42.04429	Jogo executando - Esperando jogador iniciar
43.585	Jogo executando - Esperando jogador escolher
46.21059	Jogo executando - Escolha certa
47.34727	Jogo executando - Turno terminando
48.89416	Jogo executando - Novo turno
48.91072	Jogo executando - Esperando jogador ler
48.9403	Jogo executando - Esperando jogador iniciar
50.48127	Jogo executando - Esperando jogador escolher
53.7651	Jogo executando - Escolha certa
54.92243	Jogo executando - Turno terminando
56.49603	Jogo executando - Novo turno
56.5125	Jogo executando - Esperando jogador ler
56.53501	Jogo executando - Esperando jogador iniciar
58.1242	Jogo executando - Esperando jogador escolher
60.82434	Jogo executando - Escolha certa
62.12006	Big Time Step
62.12006	Jogo executando - Escolha certa
62.78848	Big Time Step
62.78848	Jogo executando - Escolha certa
64.01636	Big Time Step
64.01636	Jogo executando - Escolha certa
65.0265	Big Time Step
65.0265	Jogo executando - Turno terminando
65.36143	Big Time Step
65.36143	Jogo executando - Turno terminando
