	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	10.09131	CountSuits	2.099035	3	1	10.09131	0	0	3	3	1	3	3	1	1	1	1	38	2.985323	0	1.154195	189.0761	48.00001	179.0371	58.18027
1	16.71618	CountSuits	2.599035	3	1	6.624876	38	0	6	1	1	6	1	1	1	1	1	37	0.497203	0	1.944778	189.0761	-108	139.8315	-101.125
2	24.53771	CountSuits	2.475257	3	1	7.821529	37	0	6	1	1	6	1	1	1	1	1	37	1.939562	0	1.863355	189.0761	-90	132.6333	-98.51926
3	31.07356	CountSuits	2.422945	3	1	6.535845	37	0	5	2	0	5	2	0	1	1	1	36	0.519787	0	2.027236	189.0761	114	170.3292	105.333
4	37.70868	CountSuits	2.376305	3	1	6.635118	37	0	5	0	0	5	0	0	1	1	1	36	0.5380962	0	2.038058	189.0761	-108	137.4116	-100.1782
5	44.01013	CountSuits	2.347238	3	1	6.301453	36	0	3	3	1	3	3	1	1	1	1	37	0.5344995	0	1.787593	189.0761	-6.000011	189.8466	-6.006676
6	49.89535	CountSuits	2.348732	3	1	5.88522	36	0	2	1	1	2	1	1	1	1	1	38	0.5466912	0	1.340635	189.0761	-71.99999	183.4413	-68.82507
7	56.82322	CountSuits	2.381725	3	1	6.927868	37	0	7	0	0	7	0	0	1	1	1	35	0.5368179	0	2.71141	189.0761	150	197.6625	154.0581
8	62.71975	CountSuits	2.320796	3	1	5.896538	36	0	6	0	0	6	0	0	1	1	1	37	0.5499092	0	1.622288	189.0761	150	214.1705	143.6399
