Time	Message
0.01657266	Jogo executando - Esperando jogador ler
3.157466	Big Time Step
3.157466	Jogo executando - Esperando jogador ler
4.015749	Jogo executando - Esperando jogador iniciar
6.395385	Big Time Step
6.395385	Jogo executando - Esperando jogador iniciar
8.358171	Jogo executando - Esperando jogador escolher
10.09131	Jogo executando - Escolha certa
11.66781	Big Time Step
11.66781	Jogo executando - Escolha certa
11.82604	Jogo executando - Turno terminando
12.73697	Jogo executando - Novo turno
12.75354	Jogo executando - Esperando jogador ler
12.77011	Jogo executando - Esperando jogador iniciar
14.30631	Jogo executando - Esperando jogador escolher
15.89205	Big Time Step
15.89205	Jogo executando - Esperando jogador escolher
16.71618	Jogo executando - Escolha certa
17.33763	Big Time Step
17.33763	Jogo executando - Escolha certa
17.85406	Jogo executando - Turno terminando
18.08006	Big Time Step
18.08006	Jogo executando - Turno terminando
18.89725	Big Time Step
18.89725	Jogo executando - Turno terminando
19.05419	Jogo executando - Novo turno
19.07075	Jogo executando - Esperando jogador ler
19.08731	Jogo executando - Esperando jogador iniciar
19.98003	Big Time Step
19.98003	Jogo executando - Esperando jogador iniciar
20.51332	Big Time Step
20.51332	Jogo executando - Esperando jogador iniciar
22.31439	Big Time Step
22.31439	Jogo executando - Esperando jogador escolher
24.53771	Jogo executando - Escolha certa
25.74831	Jogo executando - Turno terminando
26.28722	Big Time Step
26.28722	Jogo executando - Turno terminando
26.88141	Jogo executando - Novo turno
26.89798	Jogo executando - Esperando jogador ler
26.91455	Jogo executando - Esperando jogador iniciar
28.3961	Big Time Step
28.3961	Jogo executando - Esperando jogador iniciar
28.55547	Jogo executando - Esperando jogador escolher
29.27498	Big Time Step
29.27498	Jogo executando - Esperando jogador escolher
31.07356	Jogo executando - Escolha certa
32.18837	Jogo executando - Turno terminando
33.18755	Jogo executando - Novo turno
33.20411	Jogo executando - Esperando jogador ler
33.22068	Jogo executando - Esperando jogador iniciar
35.1195	Big Time Step
35.1195	Jogo executando - Esperando jogador iniciar
35.16114	Jogo executando - Esperando jogador escolher
37.70868	Jogo executando - Escolha certa
38.93356	Jogo executando - Turno terminando
39.92971	Jogo executando - Novo turno
39.94627	Jogo executando - Esperando jogador ler
39.96284	Jogo executando - Esperando jogador iniciar
40.81462	Big Time Step
40.81462	Jogo executando - Esperando jogador iniciar
41.70741	Jogo executando - Esperando jogador escolher
44.01013	Jogo executando - Escolha certa
45.1324	Jogo executando - Turno terminando
46.26359	Big Time Step
46.26359	Jogo executando - Turno terminando
46.28593	Jogo executando - Novo turno
46.30662	Jogo executando - Esperando jogador ler
46.3232	Jogo executando - Esperando jogador iniciar
48.03918	Jogo executando - Esperando jogador escolher
49.89535	Jogo executando - Escolha certa
51.06757	Jogo executando - Turno terminando
52.05309	Jogo executando - Novo turno
52.06962	Jogo executando - Esperando jogador ler
52.0861	Jogo executando - Esperando jogador iniciar
53.60354	Jogo executando - Esperando jogador escolher
56.29161	Big Time Step
56.29161	Jogo executando - Esperando jogador escolher
56.82322	Jogo executando - Escolha certa
57.96667	Jogo executando - Turno terminando
58.61286	Big Time Step
58.61286	Jogo executando - Turno terminando
58.97567	Jogo executando - Novo turno
58.992	Jogo executando - Esperando jogador ler
59.00856	Jogo executando - Esperando jogador iniciar
60.5754	Jogo executando - Esperando jogador escolher
62.71975	Jogo executando - Escolha certa
63.92633	Jogo executando - Turno terminando
