	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.677228	Memory	2.247628	5	1	4.677228	0	0	5	0	0	5	0	0	1	1	1	38	0.5633432	0.5677758	1.092234	189.0761	54	146.8747	49.64225
1	10.75186	Memory	2.703883	5	1	6.074636	38	0	6	2	0	6	2	0	1	1	1	38	0.4722453	0.4642444	1.048531	189.0761	-162	175.1379	-169.0985
2	18.5101	Memory	2.714809	5	1	7.758232	38	0.5395229	4	0	0	4	0	0	1	1	1	35	0.464266	0.4708991	2.671279	189.0761	-108	137.603	-110.3663
3	25.30719	Memory	2.447993	5	1	6.797098	37	0	2	2	0	2	2	0	1	1	1	38	0.5240753	0.5112922	1.380167	189.0761	36	201.1326	36.83403
4	31.68575	Memory	2.475974	5	1	6.378557	37	0	3	0	0	3	0	0	1	1	1	39	0.5135707	0.5189055	0.9921559	189.0761	-162	179.6877	-165.6039
5	39.09013	Memory	2.531563	5	1	7.404375	37	0	3	0	0	3	0	0	1	1	1	37	0.5013906	0.4972902	1.792046	189.0761	-36	189.9557	-46.59331
6	45.63336	Memory	2.501966	5	1	6.543236	37	0	4	2	0	4	2	0	1	1	1	39	0.5017533	0.5018536	0.9452423	189.0761	-180	197.7917	173.7845
7	52.96717	Memory	2.54131	5	1	7.333809	37	0	9	0	0	9	0	0	1	1	1	37	0.4999232	0.497	1.903201	189.0761	-18	196.0229	-17.9311
8	59.71327	Memory	2.510947	5	1	6.746101	37	0	0	2	0	0	2	0	1	1	1	39	0.8282441	0.5135692	0.9187635	189.0761	108	161.2328	123.7881
