	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	10.41626	MultiSuits	1.89967	3	1	10.41626	0	0	4	1	1	4	1	1	1	1	1	36	1.580505	0	2.472831	189.0761	12	185.7784	18.34757
1	17.5329	MultiSuits	2.013584	3	1	7.116635	36	0	3	0	0	3	0	0	1	1	1	37	0.6300885	0	1.994417	189.0761	-90	160.3235	-88.26907
2	23.84977	MultiSuits	2.133188	3	1	6.31687	36	0	5	2	0	5	2	0	1	1	1	37	0.6008691	0	1.687137	189.0761	-42	210.3736	-58.96756
3	30.24847	MultiSuits	2.224269	3	1	6.398703	36	0	1	0	0	1	0	0	1	1	1	37	0.567526	0	1.740574	189.0761	-96	157.1359	-90.77941
4	36.56501	MultiSuits	2.26313	3	1	6.316542	36	0	9	2	0	9	2	0	1	1	1	37	0.5632637	0	1.729609	189.0761	-60	208.1512	-72.23628
5	42.72488	MultiSuits	2.287543	3	1	6.15987	36	0	3	1	1	3	1	1	1	1	1	37	0.8204355	0	1.566444	189.0761	-77.99999	159.4263	-87.57101
6	48.47016	MultiSuits	2.317416	3	1	5.745277	36	0	1	2	0	1	2	0	1	1	1	38	0.552388	0	1.360677	189.0761	-162	193.5222	-171.8748
7	54.85125	MultiSuits	2.353451	3	1	6.381092	37	0	6	1	1	6	1	1	1	1	1	36	0.5469174	0	2.048076	189.0761	24.00001	177.7529	13.34134
8	61.01369	MultiSuits	2.337515	3	1	6.162437	36	0	7	1	1	7	1	1	1	1	1	37	0.546613	0	1.706589	189.0761	162	194.723	162.7667
