Time	Message
0.01608043	Game running - Waiting player reads
8.471466	Game running - Waiting player starts
10.71723	Game running - Waiting player chooses
12.63093	Game running - Right choose
13.78463	Game running - Turn ended
15.03688	Game running - New turn
15.05344	Game running - Waiting player reads
15.08116	Game running - Waiting player starts
16.59248	Game running - Waiting player chooses
17.89616	Game running - Right choose
19.01924	Game running - Turn ended
20.19633	Game running - New turn
20.21665	Game running - Waiting player reads
20.26028	Game running - Waiting player starts
