Choice	Time	N cards	Objective	Choice	Match	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0.3810348	3	23	23	1	0	0.6495342	0	0.8447484	3	171.8873	-90	183.654	-86.88828
1	4.179967	3	37	37	1	0	0.1491024	0	0.8283345	2.827626	171.8874	72	165.2979	68.19859
2	7.892217	3	14	14	1	0	0	0	0.9116079	2.831729	171.8873	0	159.0627	1.79581
3	11.77901	3	77	77	1	0	0.1156662	0	0.9512468	2.819218	171.8874	-162	153.8184	-153.7846
4	15.71078	3	37	37	1	0	0.04975304	0	0.97743	2.808008	171.8873	-36	158.1306	-35.61502
5	19.76551	3	57	57	1	0	0.09940147	0	1.111863	2.798663	171.8873	-71.99999	174.0256	-65.79195
6	23.65475	3	35	35	1	0	0.0497337	0	0.981379	2.781231	171.8873	90	143.0591	88.10835
7	27.49273	3	61	61	1	0	0.2184859	0	0.759795	2.778099	171.8873	144	146.1756	144.5699
8	31.35826	3	19	19	1	0	0	0	1.002665	2.7896	171.8873	-126	175.7721	-133.1251
9	35.32023	3	19	19	1	0	0.0509302	0	1.040805	2.785052	171.8873	126	169.5374	118.6671
10	38.98934	3	25	25	1	0	0	0	0.773621	2.779506	171.8873	162	165.352	161.0189
11	42.78782	3	1	1	1	0	0.06831998	0	0.7704107	2.787114	171.8874	18	197.4031	21.92867
12	46.61455	3	0	0	1	0	0	0	0.9455178	2.793587	171.8873	108	185.7112	105.2338
13	50.50201	3	47	47	1	0	0.04287876	0	0.9718416	2.79233	171.8873	-54.00001	137.2637	-52.84537
14	54.25377	3	37	37	1	0	0	0	0.8819491	2.790312	171.8873	36	191.0542	37.46785
15	58.06469	3	35	35	1	0	0.02051861	0	0.9093365	2.791559	171.8873	-180	150.6006	179.3013
