Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0	5	35	35	1	True	True	True	39	0	0.05979839	0	0.711475	2.756094	171.8873	90	178.7905	94.88234
1	4.138403	5	42	42	1	True	True	True	38	39	0	0	1.077526	2.894263	171.8873	144	163.5658	140.924
2	8.476785	5	63	63	1	True	True	True	39	38	0.1437006	0	0.9757608	2.80275	171.8874	18	157.4433	20.39947
3	13.12217	5	49	49	1	True	True	True	39	38	0.3038984	0	0.9486186	2.789207	171.8873	126	148.2254	124.2526
4	17.44385	5	21	21	1	True	True	True	39	38	0.06899975	0	0.8978045	2.785828	171.8873	-90	167.1941	-94.86071
5	21.77592	5	23	23	1	True	True	True	39	38	0	0	0.9332033	2.788882	171.8873	36	183.375	33.03074
6	26.17386	5	73	73	1	True	True	True	38	38	0.05950114	0	1.024783	2.787968	171.8874	54	157.0325	54.45119
7	30.67433	5	13	13	1	True	True	True	38	38	0	0	1.106524	2.780773	171.8873	-180	153.6919	172.2437
8	35.21866	5	47	47	1	True	True	True	38	38	0.1160523	0	1.038518	2.770269	171.8873	-90	154.0008	-89.80479
9	39.64723	5	7	7	1	True	True	True	39	38	0.09530193	0	0.9492391	2.765877	171.8874	18	159.8716	20.66612
10	44.54212	5	17	17	1	True	True	True	38	38	0.3728413	0	1.070232	2.766827	171.8873	-54.00001	135.8797	-57.53729
11	49.19349	5	0	0	1	True	True	True	38	38	0.03208377	0	1.208703	2.762105	171.8873	-144	150.262	-144.4507
12	53.72903	5	12	12	1	True	True	True	38	38	0.0985792	0	1.000085	2.752401	171.8873	126	173.5909	122.9694
13	58.0374	5	2	2	1	True	True	True	39	38	0.06641094	0	0.8111148	2.752213	171.8873	90	156.6454	90.95964
