Time	Message
0	Jogo executando - Novo turno
0	Jogo executando - Esperando jogador iniciar
0.6194997	Jogo executando - Esperando jogador escolher
1.400304	Jogo executando - Escolha certa
2.39766	Jogo executando - Turno terminando
3.515589	Jogo executando - Novo turno
3.561154	Jogo executando - Esperando jogador iniciar
5.861376	Jogo executando - Esperando jogador escolher
6.565132	Jogo executando - Escolha certa
7.525152	Jogo executando - Turno terminando
8.615932	Jogo executando - Novo turno
8.664016	Jogo executando - Esperando jogador iniciar
10.5178	Jogo executando - Esperando jogador escolher
11.3381	Jogo executando - Escolha certa
12.30105	Jogo executando - Turno terminando
13.41255	Jogo executando - Novo turno
13.46313	Jogo executando - Esperando jogador iniciar
15.32918	Jogo executando - Esperando jogador escolher
16.06172	Jogo executando - Escolha certa
17.03152	Jogo executando - Turno terminando
18.12559	Jogo executando - Novo turno
18.17826	Jogo executando - Esperando jogador iniciar
20.16964	Jogo executando - Esperando jogador escolher
21.2019	Jogo executando - Escolha certa
22.19122	Jogo executando - Turno terminando
23.31725	Jogo executando - Novo turno
23.37251	Jogo executando - Esperando jogador iniciar
25.13547	Jogo executando - Esperando jogador escolher
26.07691	Jogo executando - Escolha certa
27.07082	Jogo executando - Turno terminando
28.1983	Jogo executando - Novo turno
28.25424	Jogo executando - Esperando jogador iniciar
30.41998	Jogo executando - Esperando jogador escolher
31.30138	Jogo executando - Escolha certa
32.31968	Jogo executando - Turno terminando
33.43938	Jogo executando - Novo turno
33.49792	Jogo executando - Esperando jogador iniciar
35.61103	Jogo executando - Esperando jogador escolher
36.71748	Jogo executando - Escolha certa
37.7265	Jogo executando - Turno terminando
38.86274	Jogo executando - Novo turno
38.923	Jogo executando - Esperando jogador iniciar
40.8875	Jogo executando - Esperando jogador escolher
42.05004	Jogo executando - Escolha certa
43.06474	Jogo executando - Turno terminando
44.21817	Jogo executando - Novo turno
44.28185	Jogo executando - Esperando jogador iniciar
46.31072	Jogo executando - Esperando jogador escolher
47.18866	Jogo executando - Escolha certa
48.21275	Jogo executando - Turno terminando
49.37105	Jogo executando - Novo turno
49.43513	Jogo executando - Esperando jogador iniciar
51.48059	Jogo executando - Esperando jogador escolher
53.2222	Jogo executando - Escolha certa
54.25772	Jogo executando - Turno terminando
55.43364	Jogo executando - Novo turno
55.50609	Jogo executando - Esperando jogador iniciar
57.95726	Jogo executando - Esperando jogador escolher
59.34577	Jogo executando - Escolha certa
