Choice	Time	Game Mode	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	0.03249827	CountSuits	5	19	19	1	True	True	True	39	0	0	0	0.9608142	3	171.8873	126	144.6238	125.7674
1	4.821936	CountSuits	5	19	19	1	True	True	True	37	39	0.03307185	0	1.540573	2.769593	171.8873	-71.99999	139.2203	-69.48186
2	9.229991	CountSuits	5	11	11	1	True	True	True	38	38	0.148939	0	1.060269	2.624653	171.8873	36	139.9526	33.60064
3	14.54369	CountSuits	5	31	31	1	True	True	True	36	38	0.1491861	0	2.098328	2.656391	171.8873	-71.99999	138.1798	-66.0154
4	20.0111	CountSuits	5	22	22	1	True	True	True	37	37	0.1656707	0	1.883551	2.542502	171.8873	-71.99999	145.8475	-73.48833
5	24.56939	CountSuits	5	21	21	1	True	True	True	38	37	0.1365207	0	1.04496	2.495646	171.8873	1.001791E-05	156.3234	-4.52408
6	28.96815	CountSuits	5	19	19	1	True	True	True	38	37	0.115969	0	1.161173	2.534292	171.8873	-18	129.2373	-7.817549
7	33.38906	CountSuits	5	12	12	1	True	True	True	38	37	0.1831722	0	1.031221	2.553595	171.8873	144	145.4723	148.3451
8	37.73996	CountSuits	5	12	12	1	True	True	True	38	37	0.04969975	0	1.029753	2.576194	171.8873	18.00002	163.0643	17.12306
9	42.02806	CountSuits	5	2	2	1	True	True	True	38	37	0	0	1.032022	2.593853	171.8873	1.001791E-05	149.7149	-2.109941
10	46.82005	CountSuits	5	11	11	1	True	True	True	38	37	0.09983847	0	1.359462	2.607867	171.8873	-180	172.4955	-177.1202
11	51.14189	CountSuits	5	19	19	1	True	True	True	38	37	0.05243185	0	1.001078	2.604449	171.8873	108	162.3672	109.0498
12	55.86395	CountSuits	5	31	35	0	False	True	True	10	37	0.1300456	0	1.242382	2.616533	171.8873	144	154.0437	144.4964
