Choice	Time	N cards	Objective	Choice	Match	Value Points	Suit Points	Color Points	Total Points	Precision	Time to Play	Time to Memorize	Time to Choose	Game Speed	Obj Mag	Obj Ang	Cho Mag	Cho Ang
0	1.125966	8	19	19	1	True	True	True	37	0	0.1158545	0	1.706401	3	171.8874	18	191.0038	16.51833
1	5.920739	8	42	42	1	True	True	True	40	37	0.149749	0	0.4850072	2.5	171.8873	-144	153.7906	-142.9737
2	11.21554	8	17	17	1	True	True	True	38	38	0.198934	0	1.242706	2.702148	171.8873	-108	142.8619	-107.5361
3	15.85998	8	21	21	1	True	True	True	39	38	0.06627002	0	0.6828407	2.677648	171.8873	108	164.7064	100.6477
4	21.16489	8	0	0	1	True	True	True	38	38	0.1988037	0	1.280102	2.735381	171.8873	-36	128.1002	-32.87627
5	26.07172	8	35	35	1	True	True	True	39	38	0.1657836	0	0.8970193	2.710294	171.8873	-71.99999	168.6157	-68.26481
6	31.58029	8	37	37	1	True	True	True	38	38	0.6349053	0	1.047442	2.725494	171.8874	54	139.1016	51.50896
7	36.88111	8	7	7	1	True	True	True	38	38	0.1159682	0	1.334113	2.725606	171.8874	-162	135.1918	-165.2621
8	42.7632	8	57	57	1	True	True	True	37	38	0.06626804	0	1.93289	2.707773	171.8873	0	139.8501	-2.905375
9	47.49718	8	47	47	1	True	True	True	39	38	0.08292831	0	0.7054842	2.660638	171.8874	72	174.5043	65.86259
10	52.90543	8	51	51	1	True	True	True	38	38	0.0553491	0	1.456142	2.6843	171.8873	-126	141.6039	-126.9337
11	58.17158	8	37	37	1	True	True	True	38	38	0.196179	0	1.137519	2.669539	171.8873	-180	133.3209	174.6933
