Time	Message
0.01656671	Game running - Waiting player starts
1.978156	Game running - Waiting player chooses
3.175194	Game running - Right choose
4.173236	Game running - Turn ended
5.534047	Game running - New turn
5.550213	Game running - Waiting player starts
7.739671	Game running - Waiting player chooses
8.925898	Game running - Wrong choose
9.687964	Game running - Right choose
10.89745	Game running - Turn ended
12.57176	Game running - New turn
12.5885	Game running - Waiting player starts
15.39325	Game running - Waiting player chooses
16.17188	Game running - Right choose
17.61847	Game running - Turn ended
19.59103	Game running - New turn
19.60662	Game running - Waiting player starts
22.53636	Game running - Waiting player chooses
23.23216	Game running - Right choose
24.49383	Game running - Turn ended
26.23446	Game running - New turn
26.25146	Game running - Waiting player starts
29.04959	Game running - Waiting player chooses
30.54378	Game running - Right choose
31.75772	Game running - Turn ended
33.42187	Game running - New turn
33.43832	Game running - Waiting player starts
36.15801	Game running - Waiting player chooses
36.85846	Game running - Right choose
38.01812	Game running - Turn ended
39.59698	Game running - New turn
39.61355	Game running - Waiting player starts
42.11555	Game running - Waiting player chooses
42.92723	Game running - Right choose
44.04747	Game running - Turn ended
45.57709	Game running - New turn
45.59402	Game running - Waiting player starts
48.0393	Game running - Waiting player chooses
49.10629	Game running - Right choose
50.20688	Game running - Turn ended
51.69803	Game running - New turn
51.71478	Game running - Waiting player starts
54.23067	Game running - Waiting player chooses
55.01793	Game running - Right choose
56.09491	Game running - Turn ended
57.55854	Game running - New turn
57.57511	Game running - Waiting player starts
60.23352	Game running - Waiting player chooses
61.12432	Game running - Right choose
62.18999	Game running - Turn ended
