	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	5.81377	CountSuits	2.422557	7	1	5.81377	0	8	0	0	8	0	0	1	1	1	32	0	0	4.008676	183.3465	-54.00001	184.1147	-48.55008
1	13.72063	CountSuits	1.922557	7	1	7.906862	32	4	2	0	4	2	0	1	1	1	36	0	0	2.396328	183.3465	-156.8571	173.5336	-156.5051
2	19.89502	CountSuits	1.648749	7	1	6.17439	34	9	0	0	9	0	0	1	1	1	39	0	0	0.9668015	183.3465	149.1429	166.8562	154.2744
3	26.5722	CountSuits	2.021366	7	1	6.677183	35	2	0	0	2	0	0	1	1	1	36	0	0	2.239143	183.3465	-2.571419	150.7416	-3.641182
4	32.33382	CountSuits	2.048631	7	1	5.761616	35	4	1	1	4	1	1	1	1	1	38	0	0	1.440937	183.3465	-156.8571	157.228	-154.7724
5	37.77975	CountSuits	2.144811	7	1	5.445934	36	6	0	0	6	0	0	1	1	1	39	0	0	0.8656484	183.3465	48.85715	180.9535	42.73387
6	43.34774	CountSuits	2.256872	7	0	5.567989	36	5	2	0	5	0	0	1	0	1	15	0	0	1.219208	183.3465	151.7143	208.7172	148.6629
7	49.78732	CountSuits	1.981424	7	1	6.439575	33	3	0	0	3	0	0	1	1	1	39	0	0	0.8449004	183.3465	100.2857	191.6576	103.0253
8	55.70929	CountSuits	2.079129	7	1	5.921974	34	2	3	1	2	3	1	1	1	1	37	0	0	1.575441	183.3465	-156.8571	179.442	-163.6351
9	62.29827	CountSuits	2.120638	7	1	6.588978	34	8	0	0	8	0	0	1	1	1	37	0	0	1.915921	183.3465	100.2857	165.4138	99.50901
