	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Changed Choice	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.127722	Basic	2.315583	4	1	3.127722	0	0	1	1	1	1	1	1	1	1	1	38	0	0	1.02153	183.3465	108	136.3188	109.8827
1	8.732529	Basic	2.739235	4	1	5.604807	38	0	5	1	1	5	1	1	1	1	1	37	0	0	1.644813	183.3465	-180	191.5452	168.4769
2	14.17813	Basic	2.583414	4	1	5.445597	37	0	1	1	1	1	1	1	1	1	1	38	0	0	1.231261	183.3465	-162	143.5792	-165.4861
3	20.72453	Basic	2.600399	4	1	6.54641	37	0.7763118	9	2	0	9	2	0	1	1	1	35	0	0	2.558562	183.3465	-36	155.6887	-27.50818
4	26.19557	Basic	2.442979	4	1	5.471033	37	0	9	3	1	9	3	1	1	1	1	38	0	0	1.128099	183.3465	-180	173.5236	-164.1708
5	31.63416	Basic	2.491574	4	1	5.438591	37	0	5	3	1	5	3	1	1	1	1	38	0	0	1.17283	183.3465	36	170.2379	32.93614
6	37.79532	Basic	2.520242	4	1	6.161163	37	0	0	0	0	0	0	0	1	1	1	37	0	0	1.863177	183.3465	-54.00001	147.1847	-43.11946
7	43.51808	Basic	2.491409	4	1	5.722755	37	0	2	0	0	2	0	0	1	1	1	39	0	0	0.7430494	183.3465	-180	167.9338	-172.982
8	48.72443	Basic	2.539793	4	1	5.206348	37	0	9	0	0	9	0	0	1	1	1	39	0	0	0.9034523	183.3465	54	150.7784	50.35329
9	54.73343	Basic	2.568513	4	1	6.008999	37	0	0	3	1	0	3	1	1	1	1	37	0	0	1.97268	183.3465	-144	167.0062	-155.5959
10	60.81729	Basic	2.538027	4	1	6.083866	37	0	6	2	0	6	2	0	1	1	1	36	0	0	2.093395	183.3465	144	168.2173	144.0961
11	65.91305	Basic	2.507598	4	1	5.095757	37	0	6	3	1	6	3	1	1	1	1	38	0	0	1.05937	183.3465	162	155.6615	152.1527
12	71.64771	Basic	2.525324	4	1	5.734657	37	0	0	3	1	0	3	1	1	1	1	37	0	0	1.633922	183.3465	-126	133.7035	-127.7834
13	77.29826	Basic	2.518225	4	1	5.650551	37	0	3	2	0	3	2	0	1	1	1	38	0	0	1.35842	183.3465	0	156.1779	8.266647
