	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Changed Choice	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.198188	Memory	2.405118	5	1	4.198188	0	0	4	3	1	4	3	1	1	1	1	39	0	0.5301337	0.9879454	183.3465	17.99999	158.8501	28.05999
1	10.43056	Memory	2.756027	5	1	6.232374	39	0	5	1	1	5	1	1	1	1	1	38	0	0.4680145	1.040273	183.3465	36	138.1003	40.32857
2	17.46412	Memory	2.742945	5	0	7.033553	38	0	5	1	1	5	3	1	1	0	1	15	0	0.4689805	1.919676	183.3465	-162	163.8025	-174.2465
3	24.95815	Memory	2.242945	5	1	7.49403	30	0	5	2	0	5	2	0	1	1	1	39	0	0.5698623	0.8843611	183.3465	89.99999	138.6143	86.95133
4	32.90448	Memory	1.984476	5	1	7.946335	32	0	7	2	0	7	2	0	1	1	1	38	0	0.634123	1.086533	183.3465	162	157.8943	165.3984
5	40.52863	Memory	2.126497	5	1	7.624153	33	0	0	1	1	0	1	1	1	1	1	38	0	0.6010792	1.186856	183.3465	-126	174.1257	-126.6936
6	49.59978	Memory	2.214886	5	1	9.071144	34	0.1166027	1	1	1	1	1	1	1	1	1	36	0	1.097621	2.382573	183.3465	-36	171.4435	-30.52301
7	57.53811	Memory	2.204803	5	1	7.938328	34	0	0	3	1	0	3	1	1	1	1	37	0	0.5756994	1.74368	183.3465	-108	173.1138	-111.8787
8	64.65057	Memory	2.229506	5	0	7.112469	35	0	6	2	0	6	0	0	1	0	1	15	0	0.5651774	1.096996	183.3465	89.99999	140.8196	89.61074
9	73.30332	Memory	1.995048	5	1	8.652748	32	0	0	1	1	0	1	1	1	1	1	39	0	0.6358753	0.7706406	183.3465	126	142.7249	127.8173
