	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Changed Choice	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.683633	MultiSuits	2.585429	7	1	4.683633	0	0.1325909	8	3	1	8	3	1	1	1	1	36	0	0	2.223265	183.3465	46.28572	141.3453	49.39518
1	13.01666	MultiSuits	2.138367	7	1	8.333023	36	0	4	3	1	4	3	1	1	1	1	36	0	0	2.147706	183.3465	30.85714	158.6243	26.51031
2	21.07813	MultiSuits	2.157257	7	1	8.061474	36	0	5	3	1	5	3	1	1	1	1	35	0	0	2.560527	183.3465	82.28571	140.6497	87.84315
3	28.841	MultiSuits	2.09475	7	1	7.762867	35	0	0	1	1	0	1	1	1	1	1	37	0	0	1.804211	183.3465	-5.142849	154.6643	5.19468
4	35.82599	MultiSuits	2.158036	7	1	6.984995	36	0	5	2	0	5	2	0	1	1	1	37	0	0	1.823539	183.3465	-108	152.7844	-107.6197
5	44.16177	MultiSuits	2.194075	7	1	8.335777	36	0	3	2	0	3	2	0	1	1	1	35	0	0	2.718991	183.3465	64.28572	137.8368	65.54671
6	50.76772	MultiSuits	2.14348	7	1	6.605953	36	0	9	0	0	9	0	0	1	1	1	38	0	0	1.074481	183.3465	82.28571	133.3138	90.54501
7	58.95775	MultiSuits	2.224806	7	1	8.190025	36	0	7	0	0	7	0	0	1	1	1	35	0	0	2.860767	183.3465	-38.57143	157.5385	-43.21377
8	66.00764	MultiSuits	2.174157	7	1	7.049889	36	0	8	2	0	8	2	0	1	1	1	38	0	0	1.467308	183.3465	82.28571	130.5801	87.04633
9	73.50079	MultiSuits	2.212178	7	1	7.493149	36	0	2	1	1	2	1	1	1	1	1	36	0	0	2.036858	183.3465	-38.57143	159.7852	-24.96985
