	Game							Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Changed Choice	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.856886	CountSuits	2.505538	3	1	3.856886	0	0	4	0	0	4	0	0	1	1	1	37	0.7270837	0	1.598494	183.3465	-71.99999	159.5151	-63.21386
1	10.02939	CountSuits	2.450753	3	1	6.172499	37	0	9	0	0	9	0	0	1	1	1	37	0	0	1.939357	183.3465	-90	178.5081	-85.69595
2	17.93453	CountSuits	2.365537	3	1	7.905149	37	0	4	1	1	4	1	1	1	1	1	37	0	0	1.59371	183.3465	-126	139.7102	-117.2314
3	24.05702	CountSuits	2.39474	3	1	6.122482	37	0	9	2	0	9	2	0	1	1	1	37	0	0	1.873733	183.3465	-108	168.4791	-103.9102
4	29.78742	CountSuits	2.374338	3	1	5.7304	37	0	8	3	1	8	3	1	1	1	1	38	0	0	1.451037	183.3465	114	132.8117	121.4237
5	36.31087	CountSuits	2.404367	3	1	6.523455	37	0.1486891	4	0	0	4	0	0	1	1	1	36	0	0	2.405157	183.3465	30	155.7432	29.72268
6	44.99826	CountSuits	2.344876	3	1	8.687386	37	0	8	3	1	8	3	1	1	1	1	32	0	0	4.337649	183.3465	-71.99999	181.3963	-62.47927
7	52.26369	CountSuits	2.164347	3	1	7.265438	36	0.1759152	6	2	0	6	2	0	1	1	1	36	0	0	2.458191	183.3465	30	167.0137	26.85789
8	59.50303	CountSuits	2.146417	3	1	7.239338	36	0	4	1	1	4	1	1	1	1	1	36	0	0	2.408165	183.3465	-90	213.9803	-88.51181
9	65.31163	CountSuits	2.13525	3	1	5.808598	36	0	0	3	1	0	3	1	1	1	1	39	0	0	0.9229791	183.3465	-6.000011	165.4555	6.198289
10	71.82803	CountSuits	2.200576	3	1	6.516396	36	0	9	0	0	9	0	0	1	1	1	37	0	0	1.880652	183.3465	132	164.9979	140.1539
11	80.26347	CountSuits	2.210494	3	1	8.435448	36	0	2	3	1	2	3	1	1	1	1	34	0	0	3.396379	183.3465	48.00001	152.9876	36.05664
