Time	Message
0.031457	Game running - Waiting player reads
0.9910213	Game running - Waiting player starts
3.03592	Game running - Waiting player chooses
3.754568	Game running - Right choose
4.829716	Game running - Turn ended
5.969881	Game running - New turn
5.986447	Game running - Waiting player reads
6.018098	Game running - Waiting player starts
7.300238	Game running - Waiting player chooses
8.195158	Game running - Wrong choose
9.012234	Game running - Right choose
10.29712	Game running - Turn ended
11.73518	Game running - New turn
11.75175	Game running - Waiting player reads
11.77979	Game running - Waiting player starts
